Name,Category,Description,Homepage,Source
ScummVM,Adventure games,A program which allows you to run certain classic graphical adventure and role-playing games,https://www.scummvm.org,https://github.com/scummvm/scummvm
Zelda 3,Adventure games,A reverse engineered clone of Zelda 3 - A Link to the Past,,https://github.com/snesrev/zelda3
OpenRCT2,Business and Tycoon games,An open-source re-implementation of RollerCoaster Tycoon 2,https://openrct2.org,https://github.com/OpenRCT2/OpenRCT2
OpenTTD,Business and Tycoon games,An open source simulation game based upon Transport Tycoon Deluxe,https://www.openttd.org,https://github.com/OpenTTD/OpenTTD
Citybound,City-Building games,A city building game that uses microscopic models to vividly simulate the organism of a city arising from the interactions of millions of individuals,https://aeplay.org/citybound,https://github.com/citybound/citybound
Cytopia,City-Building games,"A free, open source retro pixel-art city building game",https://cytopia.itch.io/cytopia,https://github.com/CytopiaTeam/Cytopia
micropolisJS,City-Building games,A handmade Javascript port of the open-source city simulator Micropolis,http://www.graememcc.co.uk/micropolisJS,https://github.com/graememcc/micropolisJS
Anarch,First-Person games,"This isn't a 90s style retro shooter, this is a 90s shooter",https://drummyfish.gitlab.io/anarch,https://gitlab.com/drummyfish/anarch
Cube 2: Sauerbraten,First-Person games,A free multiplayer & singleplayer first person shooter,http://sauerbraten.org,https://sourceforge.net/projects/sauerbraten
DOOM,First-Person games,,,https://github.com/id-Software/DOOM
Doom 3 BFG Edition,First-Person games,,,https://github.com/id-Software/DOOM-3-BFG
The Dark Mod,First-Person games,First-person stealth video game,https://www.thedarkmod.com/main,https://svn.thedarkmod.com/publicsvn/darkmod_src/trunk
Quake,First-Person games,,,https://github.com/id-Software/Quake
Quake 2,First-Person games,,,https://github.com/id-Software/Quake-2
Quake III Arena,First-Person games,,,https://github.com/id-Software/Quake-III-Arena
Wolfenstein 3D,First-Person games,,,https://github.com/id-Software/wolf3d
Commander Keen in Keen Dreams,Platformers,A side-scrolling platform video game developed by id Software,https://en.wikipedia.org/wiki/Commander_Keen_in_Keen_Dreams,https://github.com/keendreams/keen
DDraceNetwork,Platformers,Cooperative 2D online platformer,https://ddnet.tw,https://github.com/ddnet/ddnet
OpenGOAL,Platformers,"This project is to port Jak and Daxter 1 (NTSC, ""black label"" version) to PC",,https://github.com/water111/jak-project
Rigel Engine,Platformers,"This project is a re-implementation of the game Duke Nukem II, originally released by Apogee Software in 1993 for MS-DOS",,https://github.com/lethal-guitar/RigelEngine
